req_id,defined_in,statement_short,sds_ref,sdd_ref,tp_ref,code_ref,test_ref,status
REQ_F_ACC_003,SRS,Single-account deployments SHALL continue to work without configurati…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/__init__.py;trading_system/accounts/factory.py;trading_system/accounts/yaml_loader.py;trading_system/accounts/registry.py,tests/accounts/test_factory.py;tests/accounts/test_account_registry.py;tests/accounts/test_structural.py,TEST
REQ_F_ACC_004,SRS,"Each account SHALL carry its own phase, resolved from its own `equity…",,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/account.py,,CODE
REQ_F_ACC_005,SRS,The tax engine SHALL be reached through a `TaxModel` Protocol. France…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/account.py;trading_system/accounts/tax_model.py,tests/accounts/test_tax_model.py,TEST
REQ_F_ACC_006,SRS,A `RiskConfig` overlay SHALL be definable per account. Unset fields S…,,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/__init__.py;trading_system/accounts/account.py,,CODE
REQ_F_ACC_007,SRS,A `PortfolioGroup` aggregator SHALL expose household-level views over…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/group.py,tests/accounts/test_group.py;tests/accounts/test_structural.py,TEST
REQ_F_ACC_008,SRS,A cross-account single-asset concentration cap SHALL be enforced befo…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/cross_account_risk.py;trading_system/risk/engine.py,tests/accounts/test_cross_account_risk.py;tests/risk/test_cross_account_gate.py,TEST
REQ_F_ACC_009,SRS,A household-level drawdown cap SHALL be enforced as an additional kil…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/household_drawdown_trigger.py,tests/accounts/test_household_drawdown_trigger.py,TEST
REQ_F_ACC_010,SRS,Operator tokens (REQ_S_KS_009 / REQ_F_PER_006) SHALL scope per accoun…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/token_verifier.py;trading_system/accounts/account.py;trading_system/accounts/factory.py,tests/accounts/test_token_verifier.py,TEST
REQ_F_BCT_001,SRS,Deterministic backtest,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/main.py;trading_system/backtesting/engine.py;trading_system/backtesting/config.py;trading_system/backtesting/__init__.py;trading_system/backtesting/result.py;trading_system/backtesting/clock.py;trading_system/backtesting/market_replay.py;trading_system/strategies/state.py;trading_system/data/__init__.py;trading_system/data/provider.py;trading_system/data/mock.py;trading_system/turbo_selector/stats.py;trading_system/strategy_lab/backtester.py,tests/backtesting/test_market_replay.py;tests/backtesting/test_clock.py;tests/backtesting/test_engine.py;tests/data/yfinance/test_integration.py,TEST
REQ_F_BCT_002,SRS,Simulate broker fees,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/execution/fees.py;trading_system/backtesting/engine.py,tests/backtesting/test_engine.py,TEST
REQ_F_BCT_003,SRS,Simulate slippage,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/execution/slippage.py,tests/backtesting/test_engine.py,TEST
REQ_F_BCT_004,SRS,Simulate turbo knockouts,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/backtesting/engine.py;trading_system/backtesting/knockout.py;trading_system/portfolio/portfolio.py,tests/backtesting/test_knockout.py;tests/portfolio/test_portfolio.py,TEST
REQ_F_BCT_005,SRS,Simulate dividends,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/models/trading.py;trading_system/backtesting/engine.py;trading_system/backtesting/dividends.py;trading_system/data/__init__.py;trading_system/data/provider.py;trading_system/portfolio/portfolio.py,tests/backtesting/test_dividends.py;tests/portfolio/test_portfolio.py,TEST
REQ_F_BCT_006,SRS,Apply 30% tax,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/backtesting/result.py;trading_system/portfolio/portfolio.py,tests/backtesting/test_engine.py;tests/portfolio/test_portfolio.py,TEST
REQ_F_BCT_007,SRS,Simulate injection timeline,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/backtesting/engine.py;trading_system/backtesting/injection_scheduler.py;trading_system/backtesting/config.py;trading_system/portfolio/portfolio.py,tests/backtesting/test_injection_scheduler.py;tests/backtesting/test_engine.py;tests/portfolio/test_portfolio.py,TEST
REQ_F_BCT_008,SRS,Walk-forward required,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/backtesting/walk_forward.py,tests/backtesting/test_walk_forward.py,TEST
REQ_F_BCT_009,SRS,Phase 5+ extended walk-forward,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/backtesting/walk_forward.py,tests/backtesting/test_walk_forward.py,TEST
REQ_F_BRK_001,SRS,BrokerAdapter interface,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/models/__init__.py;trading_system/models/instrument.py;trading_system/execution/adapter.py;trading_system/execution/local.py;trading_system/execution/__init__.py;trading_system/execution/types.py;trading_system/backtesting/broker.py,tests/backtesting/test_broker.py,TEST
REQ_F_BRK_002,SRS,Mock adapter end-to-end,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/execution/adapter.py;trading_system/execution/local.py;trading_system/execution/fees.py;trading_system/execution/__init__.py,,CODE
REQ_F_BRK_003,SRS,XTB XAPI reference adapter,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/execution/__init__.py,,CODE
REQ_F_BRK_004,SRS,Adapter selected by config,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/execution/__init__.py,,CODE
REQ_F_BRK_005,SRS,Non-execution modules broker-agnostic,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/execution/adapter.py;trading_system/execution/__init__.py;trading_system/data/provider.py,,CODE
REQ_F_CAP_001,SRS,Starting capital from config,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_CAP_002,SRS,Phase engine selects from equity+injections,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/phase_engine/__init__.py,tests/phase_engine/test_engine.py,TEST
REQ_F_CAP_003,SRS,Six phases defined,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/phase_engine/__init__.py;trading_system/models/__init__.py;trading_system/models/phase.py,tests/phase_engine/test_engine.py,TEST
REQ_F_CAP_004,SRS,Phase thresholds configurable,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/phase_engine/loader.py;trading_system/phase_engine/__init__.py;trading_system/models/phase.py,tests/phase_engine/test_loader.py,TEST
REQ_F_CAP_005,SRS,Hysteresis on phase downgrades,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/phase_engine/engine.py;trading_system/phase_engine/__init__.py,tests/phase_engine/test_engine.py,TEST
REQ_F_CAP_006,SRS,Phase 1 constraints,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/phase_engine/__init__.py;trading_system/models/phase.py;trading_system/turbo_selector/engine.py;trading_system/turbo_selector/__init__.py,tests/turbo_selector/test_engine.py,TEST
REQ_F_CAP_007,SRS,Phase 2 constraints,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_CAP_008,SRS,Phase 3 constraints,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_CAP_009,SRS,Phase 4 constraints,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_CAP_010,SRS,Phase 5 constraints,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_CAP_011,SRS,Phase 6 constraints,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_CAP_012,SRS,Phase 5+ portfolio vol cap,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/phase_engine/engine.py;trading_system/phase_engine/__init__.py;trading_system/models/phase.py,tests/phase_engine/test_loader.py;tests/phase_engine/test_engine.py,TEST
REQ_F_CAP_013,SRS,Risk per trade per phase,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/phase_engine/__init__.py;trading_system/strategies/tactical.py;trading_system/risk/engine.py,tests/strategies/test_tactical.py,TEST
REQ_F_CAP_014,SRS,Stop-loss mandatory,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/models/__init__.py;trading_system/models/trading.py;trading_system/strategies/tactical.py;trading_system/risk/engine.py;trading_system/portfolio/portfolio.py,tests/models/test_trading.py;tests/strategies/test_tactical.py;tests/portfolio/test_portfolio.py,TEST
REQ_F_CFL_001,SRS,Track initial+injections+deployed+equity,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/capital_flow/__init__.py;trading_system/capital_flow/flow.py;trading_system/models/__init__.py;trading_system/models/flow.py;trading_system/backtesting/injection_scheduler.py,tests/capital_flow/test_flow.py,TEST
REQ_F_CFL_002,SRS,Performance excludes injections,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/capital_flow/flow.py;trading_system/models/flow.py;trading_system/backtesting/result.py;trading_system/analytics/engine.py;trading_system/milestone_controller/controller.py,tests/capital_flow/test_flow.py;tests/backtesting/test_injection_scheduler.py,TEST
REQ_F_CFL_003,SRS,Risk sizing scales with total capital,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_CFL_004,SRS,Backtests simulate injection timeline,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/capital_flow/flow.py;trading_system/backtesting/injection_scheduler.py,tests/capital_flow/test_flow.py;tests/backtesting/test_injection_scheduler.py,TEST
REQ_F_DAT_001,SRS,A backtest historical-data adapter SHALL exist alongside `MockMarketD…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/yfinance/__init__.py;trading_system/data/yfinance/provider.py,tests/data/yfinance/test_integration.py;tests/data/yfinance/test_provider.py,TEST
REQ_F_DAT_002,SRS,The adapter SHALL source OHLCV bars from Yahoo Finance via the `yfina…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/yfinance/symbols.py,tests/data/yfinance/test_symbols.py,TEST
REQ_F_DAT_003,SRS,The adapter SHALL source dividend events at **per-share** granularity…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/yfinance/mappers.py,tests/data/yfinance/test_mappers.py,TEST
REQ_F_DAT_004,SRS,"Every `(symbol, timeframe, start, end)` fetch SHALL be persisted to a…",Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/yfinance/cache.py;trading_system/data/yfinance/provider.py,tests/data/yfinance/test_cache.py,TEST
REQ_F_DAT_005,SRS,On cache hit the adapter SHALL NOT open a network connection; reads a…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/yfinance/cache.py;trading_system/data/yfinance/provider.py,tests/data/yfinance/test_provider.py;tests/data/yfinance/test_cache.py,TEST
REQ_F_DAT_006,SRS,A constructor flag `allow_network` (default `False`) SHALL gate live…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/yfinance/provider.py,tests/data/yfinance/test_integration.py;tests/data/yfinance/test_provider.py;tests/data/yfinance/test_cache.py,TEST
REQ_F_DAT_007,SRS,All numeric fields SHALL cross the adapter boundary as `Decimal`; flo…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/yfinance/mappers.py,tests/data/yfinance/test_mappers.py,TEST
REQ_F_DAT_008,SRS,`Bar.close` SHALL carry the **unadjusted** close as reported by Yahoo…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/yfinance/mappers.py;trading_system/data/yfinance/provider.py,tests/data/yfinance/test_mappers.py,TEST
REQ_F_DAT_009,SRS,The adapter SHALL be forbidden from being instantiated when the syste…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/yfinance/__init__.py;trading_system/data/yfinance/provider.py,tests/data/yfinance/test_provider.py,TEST
REQ_F_DAT_010,SRS,The adapter SHALL NOT introduce a new fundamentals source; `Fundament…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/fundamentals/__init__.py;trading_system/data/yfinance/provider.py,tests/data/yfinance/test_provider.py,TEST
REQ_F_DSH_001,SRS,Dashboard fields,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/main.py;trading_system/dashboard/engine.py;trading_system/dashboard/view.py;trading_system/dashboard/__init__.py,tests/test_main.py;tests/dashboard/test_engine.py,TEST
REQ_F_FND_001,SRS,The system SHALL ship a `CSVFundamentalsProvider` under `trading_syst…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/fundamentals/__init__.py;trading_system/data/fundamentals/csv_provider.py,tests/integration/test_phase5_stack.py;tests/data/fundamentals/test_csv_provider.py,TEST
REQ_F_FND_002,SRS,`CSVFundamentalsProvider` SHALL keep `Decimal` as the boundary type f…,,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/fundamentals/csv_provider.py,tests/data/fundamentals/test_csv_provider.py,TEST
REQ_F_FND_003,SRS,Every CSV row SHALL carry an `as_of_date` field (ISO-8601 date). Rows…,,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/fundamentals/config.py,tests/data/fundamentals/test_config.py,TEST
REQ_F_FND_004,SRS,The system SHALL ship a `CompositeFundamentalsProvider` that chains t…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/data/fundamentals/__init__.py;trading_system/data/fundamentals/composite.py,tests/integration/test_phase5_stack.py;tests/data/fundamentals/test_composite.py,TEST
REQ_F_FND_005,SRS,The CSV is the system of record for replay (REQ_NF_REP_001 family): f…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,tests/integration/test_phase5_stack.py;tests/data/fundamentals/test_csv_provider.py,TEST
REQ_F_FXH_001,SRS,The system SHALL ship a `wealth_ops/fx_hedger/` module containing: an…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/wealth_ops/fx_hedger/__init__.py,tests/integration/test_phase5_stack.py;tests/wealth_ops/fx_hedger/test_structural.py,TEST
REQ_F_FXH_002,SRS,"`compute_fx_exposure(portfolio, *, base_currency, fx_rates) -> Mappin…",Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/wealth_ops/fx_hedger/__init__.py;trading_system/wealth_ops/fx_hedger/exposure.py,tests/integration/test_phase5_stack.py;tests/wealth_ops/fx_hedger/test_exposure.py,TEST
REQ_F_FXH_003,SRS,"`FXHedger.propose_hedges(exposures, policy, *, base_currency) -> tupl…",Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/wealth_ops/fx_hedger/hedger.py;trading_system/wealth_ops/fx_hedger/__init__.py,tests/integration/test_phase5_stack.py;tests/wealth_ops/fx_hedger/test_hedger.py,TEST
REQ_F_FXH_004,SRS,"`HedgePolicy(threshold_pct, target_hedge_ratio, rebalance_frequency)`…",,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/wealth_ops/fx_hedger/policy.py;trading_system/wealth_ops/fx_hedger/__init__.py,tests/wealth_ops/fx_hedger/test_policy.py,TEST
REQ_F_FXH_005,SRS,FX hedge positions SHALL live in a separate `FXHedgeLedger` (NOT in `…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/wealth_ops/fx_hedger/ledger.py;trading_system/wealth_ops/fx_hedger/__init__.py;trading_system/wealth_ops/fx_hedger/forward.py,tests/integration/test_phase5_stack.py;tests/wealth_ops/fx_hedger/test_forward.py;tests/wealth_ops/fx_hedger/test_ledger.py,TEST
REQ_F_FXH_006,SRS,FX hedge P&L SHALL be tax-treated as a separate line item under REQ_C…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/wealth_ops/fx_hedger/ledger.py;trading_system/wealth_ops/fx_hedger/__init__.py,tests/integration/test_phase5_stack.py;tests/wealth_ops/fx_hedger/test_ledger.py,TEST
REQ_F_HOV_001,SRS,The system SHALL ship an `institutional/hedge_overlay/` module contai…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_HOV_002,SRS,"`compute_portfolio_beta(portfolio_returns, *, benchmark_returns, wind…",Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_HOV_003,SRS,"`HedgeOverlay.size(*, portfolio, current_beta, policy, phase) -> Resu…",Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_HOV_004,SRS,"`OverlayPolicy(target_beta, target_vol, beta_band, hedge_ratio, rebal…",Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_HOV_005,SRS,Overlay positions SHALL live in a separate `OverlayLedger` (NOT in `P…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_MCS_001,SRS,The system SHALL ship a `backtesting/monte_carlo/` module containing…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_MCS_002,SRS,Path generation SHALL be reached through an `MCGenerator` Protocol wi…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_MCS_003,SRS,"`MCConfig(generator, n_paths, seed, block_length, gbm_params, regime_…",Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_MCS_004,SRS,`MonteCarloResult` SHALL be a frozen dataclass carrying: `equity_perc…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_MCS_005,SRS,The `MonteCarloRunner` SHALL be reachable from `strategy_lab/loop_con…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_MCS_006,SRS,Persistence SHALL extend CR-008's `BacktestResultRepository` with a `…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_F_MIL_001,SRS,Configurable milestone list,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/milestone_controller/controller.py;trading_system/milestone_controller/__init__.py,tests/milestone_controller/test_controller.py,TEST
REQ_F_MIL_002,SRS,Milestone validation conditions,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/milestone_controller/controller.py;trading_system/milestone_controller/metrics.py,tests/milestone_controller/test_controller.py,TEST
REQ_F_MIL_003,SRS,Gradual scaling at milestone,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/milestone_controller/controller.py,tests/milestone_controller/test_controller.py,TEST
REQ_F_MIL_004,SRS,Reject fake growth,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/milestone_controller/controller.py;trading_system/milestone_controller/metrics.py,tests/milestone_controller/test_controller.py,TEST
REQ_F_MTO_001,SRS,Bounded research engine,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/strategy_lab/generator.py;trading_system/strategy_lab/__init__.py,tests/strategy_lab/test_generator.py,TEST
REQ_F_MTO_002,SRS,8-step pipeline,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/strategy_lab/candidate.py;trading_system/strategy_lab/generator.py;trading_system/strategy_lab/__init__.py;trading_system/strategy_lab/backtester.py;trading_system/strategy_lab/risk_guard.py;trading_system/strategy_lab/evaluator.py;trading_system/strategy_lab/loop_controller.py,tests/strategy_lab/test_loop_controller.py;tests/strategy_lab/test_generator.py;tests/strategy_lab/test_evaluator.py;tests/strategy_lab/test_risk_guard.py,TEST
REQ_F_MTO_003,SRS,Score formula,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/strategy_lab/metrics.py;trading_system/strategy_lab/evaluator.py;trading_system/strategy_lab/scoring.py,tests/strategy_lab/test_metrics.py;tests/strategy_lab/test_scoring.py,TEST
REQ_F_MTO_004,SRS,Walk-forward gate,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/strategy_lab/evaluator.py,tests/strategy_lab/test_evaluator.py,TEST
REQ_F_MTO_005,SRS,Registry versioning,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/strategy_lab/metrics.py;trading_system/strategy_lab/registry.py,tests/strategy_lab/test_loop_controller.py;tests/strategy_lab/test_registry.py,TEST
REQ_F_MTO_006,SRS,Self-improvement rule,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/strategy_lab/metrics.py;trading_system/strategy_lab/risk_guard.py;trading_system/strategy_lab/loop_controller.py;trading_system/strategy_lab/optimizer.py;trading_system/strategy_lab/registry.py,tests/strategy_lab/test_metrics.py;tests/strategy_lab/test_loop_controller.py;tests/strategy_lab/test_optimizer.py;tests/strategy_lab/test_risk_guard.py,TEST
REQ_F_MTO_007,SRS,ImprovementReport per cycle,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/models/meta.py;trading_system/models/__init__.py;trading_system/strategy_lab/risk_guard.py;trading_system/strategy_lab/evaluator.py;trading_system/strategy_lab/loop_controller.py,tests/strategy_lab/test_loop_controller.py,TEST
REQ_F_MTO_008,SRS,Regime evaluation,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/models/phase.py;trading_system/strategy_lab/metrics.py;trading_system/strategy_lab/risk_guard.py,tests/strategy_lab/test_metrics.py;tests/strategy_lab/test_risk_guard.py,TEST
REQ_F_NOT_001,SRS,The system SHALL define a `NotificationChannel` Protocol with one met…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/notifications/channel.py;trading_system/notifications/__init__.py;trading_system/notifications/payloads.py,tests/notifications/test_payloads.py,TEST
REQ_F_NOT_002,SRS,Channels SHALL be selected from `config/notifications.yaml`; the runt…,,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/notifications/channels/local_log.py,tests/notifications/test_channels.py,TEST
REQ_F_NOT_003,SRS,Every `KillSwitchEvent` payload SHALL continue to be delivered throug…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/notifications/__init__.py;trading_system/notifications/payloads.py,,CODE
REQ_F_NOT_004,SRS,A trade-approval gate SHALL be interposed between the per-account `Ri…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/notifications/approval.py;trading_system/notifications/loader.py;trading_system/notifications/payloads.py,tests/notifications/test_approval.py,TEST
REQ_F_NOT_005,SRS,Approval responses SHALL be signed via the same HMAC scheme used by K…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/notifications/approval.py;trading_system/notifications/payloads.py,tests/notifications/test_approval.py,TEST
REQ_F_NOT_006,SRS,"A summary publisher SHALL deliver routine digests on `daily`, `weekly…",,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/notifications/digest.py;trading_system/notifications/payloads.py,tests/notifications/test_digest.py,TEST
REQ_F_NOT_007,SRS,The system SHALL emit `AnomalyAlert` payloads for events short of a k…,,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/notifications/payloads.py,,CODE
REQ_F_NOT_008,SRS,Channel fan-out SHALL be multi-channel with per-channel retry. The re…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,tests/notifications/test_fanout.py,TEST
REQ_F_PER_001,SRS,The system SHALL persist its state to a single SQLite database via a…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/persistence/__init__.py;trading_system/persistence/connection.py,tests/persistence/test_connection.py,TEST
REQ_F_PER_002,SRS,The persistence layer SHALL expose one repository per aggregate root:…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/persistence/__init__.py;trading_system/persistence/repositories/__init__.py;trading_system/persistence/repositories/transition.py;trading_system/persistence/repositories/portfolio.py,tests/integration/test_phase5_stack.py;tests/persistence/test_transition_repository.py;tests/persistence/test_portfolio_repository.py,TEST
REQ_F_PER_003,SRS,Writes SHALL be wrapped in explicit transactions (`BEGIN ... COMMIT`…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/persistence/connection.py;trading_system/persistence/repositories/transition.py;trading_system/persistence/repositories/portfolio.py,tests/persistence/test_transition_repository.py;tests/persistence/test_portfolio_repository.py,TEST
REQ_F_PER_004,SRS,"On startup, the system SHALL run any pending forward migrations under…",Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/persistence/__init__.py;trading_system/persistence/migrations/__init__.py;trading_system/persistence/migrations/runner.py,tests/persistence/test_migrations.py,TEST
